arch,strategy,seed,fold,n_images,accuracy,macro_f1
mobilenet_v2,frozen,2,0,290,0.7793103448275834,0.7828583044876916
mobilenet_v2,frozen,2,1,313,0.7444089456868985,0.7396548930306199
mobilenet_v2,frozen,2,2,335,0.8358208955223855,0.8322232598157799
mobilenet_v2,frozen,2,3,297,0.7811447811447785,0.7803396355398107
mobilenet_v2,frozen,2,4,295,0.7966101694915226,0.793428564625552
mobilenet_v2,frozen,3,0,290,0.7758620689655145,0.7845232922070352
mobilenet_v2,frozen,3,1,313,0.7923322683706044,0.7847448608298476
mobilenet_v2,frozen,3,2,335,0.7999999999999976,0.796318728212862
mobilenet_v2,frozen,3,3,297,0.7542087542087517,0.7554621103425192
mobilenet_v2,frozen,3,4,295,0.8237288135593192,0.8217721698644098
mobilenet_v3_small,finetuned,1,0,290,0.7724137931034456,0.7775701466172524
mobilenet_v3_small,finetuned,1,1,313,0.7635782747603809,0.7583843572713861
mobilenet_v3_small,finetuned,1,2,335,0.7761194029850722,0.7693169463587242
mobilenet_v3_small,finetuned,1,3,297,0.7441077441077415,0.7519097161441802
mobilenet_v3_small,finetuned,1,4,295,0.8203389830508446,0.8120556663221589
mobilenet_v3_small,finetuned,2,0,290,0.7517241379310319,0.7582315016879799
mobilenet_v3_small,finetuned,2,1,313,0.7699680511182083,0.7600885136441046
mobilenet_v3_small,finetuned,2,2,335,0.7671641791044753,0.7603282545494681
mobilenet_v3_small,finetuned,2,3,297,0.7474747474747448,0.7495395250939549
mobilenet_v3_small,finetuned,2,4,295,0.810169491525421,0.7969325049308487
mobilenet_v3_small,finetuned,3,0,290,0.7586206896551697,0.7649545903121848
mobilenet_v3_small,finetuned,3,1,313,0.7891373801916907,0.7803386204224964
mobilenet_v3_small,finetuned,3,2,335,0.7432835820895499,0.7338752415804906
mobilenet_v3_small,finetuned,3,3,297,0.7037037037037013,0.7084059581205642
mobilenet_v3_small,finetuned,3,4,295,0.810169491525421,0.800996561072376
mobilenet_v3_small,frozen,1,0,290,0.7586206896551697,0.7673989741571748
mobilenet_v3_small,frozen,1,1,313,0.8019169329073457,0.7936771635303846
mobilenet_v3_small,frozen,1,2,335,0.8447761194029825,0.844875216455124
mobilenet_v3_small,frozen,1,3,297,0.8686868686868657,0.8738858149544999
mobilenet_v3_small,frozen,1,4,295,0.8372881355932175,0.8340278367720343
mobilenet_v3_small,frozen,2,0,290,0.7758620689655145,0.7843788075635826
mobilenet_v3_small,frozen,2,1,313,0.7955271565495181,0.7836577128942238
mobilenet_v3_small,frozen,2,2,335,0.8119402985074602,0.811509771002828
mobilenet_v3_small,frozen,2,3,297,0.8484848484848455,0.8535860522791445
mobilenet_v3_small,frozen,2,4,295,0.8338983050847428,0.8292083675138401
mobilenet_v3_small,frozen,3,0,290,0.7655172413793077,0.7759369619965343
mobilenet_v3_small,frozen,3,1,313,0.8019169329073457,0.7904735492522542
mobilenet_v3_small,frozen,3,2,335,0.8208955223880572,0.8204208536340748
mobilenet_v3_small,frozen,3,3,297,0.8181818181818153,0.8230722956273727
mobilenet_v3_small,frozen,3,4,295,0.8372881355932175,0.8317129199267225
nasnet_mobile,finetuned,1,0,290,0.7137931034482733,0.7145320786079351
nasnet_mobile,finetuned,1,1,313,0.7476038338658123,0.742671563677194
nasnet_mobile,finetuned,1,2,335,0.734328358208953,0.7239730295745866
nasnet_mobile,finetuned,1,3,297,0.7474747474747448,0.7513679253130445
nasnet_mobile,finetuned,1,4,295,0.7728813559322008,0.7665346595709952
nasnet_mobile,finetuned,2,0,290,0.7068965517241355,0.709154049361579
nasnet_mobile,finetuned,2,1,313,0.7316293929712436,0.7213247922592901
nasnet_mobile,finetuned,2,2,335,0.734328358208953,0.7236249163822513
nasnet_mobile,finetuned,2,3,297,0.720538720538718,0.7245881017999126
nasnet_mobile,finetuned,2,4,295,0.7491525423728788,0.7452863367564128
nasnet_mobile,finetuned,3,0,290,0.7241379310344802,0.7279304802084511
nasnet_mobile,finetuned,3,1,313,0.7412140575079847,0.7359864840962821
nasnet_mobile,finetuned,3,2,335,0.7910447761194006,0.7835317556248621
nasnet_mobile,finetuned,3,3,297,0.7676767676767651,0.7724370664943582
nasnet_mobile,finetuned,3,4,295,0.7694915254237261,0.7643484867861411
nasnet_mobile,frozen,1,0,290,0.7482758620689629,0.7535809542889886
nasnet_mobile,frozen,1,1,313,0.8115015974440868,0.803447971605733
nasnet_mobile,frozen,1,2,335,0.7970149253731319,0.7904307450252804
nasnet_mobile,frozen,1,3,297,0.7609427609427584,0.7677076056572857
nasnet_mobile,frozen,1,4,295,0.8474576271186411,0.8434004293108175
nasnet_mobile,frozen,2,0,290,0.7206896551724112,0.7261956407452804
nasnet_mobile,frozen,2,1,313,0.785942492012777,0.7804334885212315
nasnet_mobile,frozen,2,2,335,0.8089552238805946,0.8013211263775682
nasnet_mobile,frozen,2,3,297,0.7845117845117818,0.7919637485732517
