arch,strategy,seed,class,support,precision,recall,f1
efficientnet_v2_b0,frozen,3,dermatitis,253,0.7392996108949387,0.7509881422924871,0.7450980392151834
efficientnet_v2_b0,frozen,3,flea_allergy,251,0.7490774907749049,0.8087649402390407,0.7777777777772755
efficientnet_v2_b0,frozen,3,fungus,260,0.8371212121212088,0.8499999999999966,0.8435114503811761
efficientnet_v2_b0,frozen,3,ringworm,256,0.8482490272373507,0.8515624999999966,0.849902534112557
efficientnet_v2_b0,frozen,3,scabies,254,0.7837837837837802,0.6850393700787375,0.7310924369742889
efficientnet_v2_b0,finetuned,1,demodicosis,256,0.950757575757572,0.9804687499999961,0.9653846153841116
efficientnet_v2_b0,finetuned,1,dermatitis,253,0.6484641638225234,0.7509881422924871,0.6959706959701961
efficientnet_v2_b0,finetuned,1,flea_allergy,251,0.8703703703703664,0.749003984063742,0.8051391862950026
efficientnet_v2_b0,finetuned,1,fungus,260,0.738515901060068,0.8038461538461507,0.7697974217306214
efficientnet_v2_b0,finetuned,1,ringworm,256,0.7924528301886762,0.8203124999999967,0.8061420345484414
efficientnet_v2_b0,finetuned,1,scabies,254,0.8277511961722449,0.6811023622047218,0.7473002159822228
efficientnet_v2_b0,finetuned,2,demodicosis,256,0.9363295880149777,0.9765624999999961,0.9560229445501657
efficientnet_v2_b0,finetuned,2,dermatitis,253,0.673267326732671,0.8063241106719335,0.733812949639789
efficientnet_v2_b0,finetuned,2,flea_allergy,251,0.8333333333333297,0.7569721115537819,0.7933194154483497
efficientnet_v2_b0,finetuned,2,fungus,260,0.7465277777777751,0.8269230769230737,0.7846715328462137
efficientnet_v2_b0,finetuned,2,ringworm,256,0.8442622950819638,0.8046874999999968,0.8239999999994969
efficientnet_v2_b0,finetuned,2,scabies,254,0.8699999999999957,0.6850393700787375,0.76651982378805
efficientnet_v2_b0,finetuned,3,demodicosis,256,0.9501915708812223,0.9687499999999961,0.9593810444869236
efficientnet_v2_b0,finetuned,3,dermatitis,253,0.6588628762541784,0.7786561264822104,0.7137681159415298
efficientnet_v2_b0,finetuned,3,flea_allergy,251,0.8370044052863399,0.7569721115537819,0.7949790794974058
efficientnet_v2_b0,finetuned,3,fungus,260,0.7684210526315762,0.842307692307689,0.8036697247701402
efficientnet_v2_b0,finetuned,3,ringworm,256,0.8273092369477879,0.8046874999999968,0.8158415841579127
efficientnet_v2_b0,finetuned,3,scabies,254,0.8373205741626755,0.6889763779527532,0.7559395248375144
nasnet_mobile,frozen,1,demodicosis,256,0.9767441860465077,0.9843749999999961,0.9805447470812081
nasnet_mobile,frozen,1,dermatitis,253,0.7088122605363957,0.7312252964426849,0.719844357976151
nasnet_mobile,frozen,1,flea_allergy,251,0.7647058823529382,0.7768924302788813,0.7707509881417894
nasnet_mobile,frozen,1,fungus,260,0.7554744525547417,0.796153846153843,0.7752808988759018
nasnet_mobile,frozen,1,ringworm,256,0.8433734939759002,0.8203124999999967,0.8316831683163285
nasnet_mobile,frozen,1,scabies,254,0.7081545064377652,0.6496062992125958,0.6776180698146932
nasnet_mobile,frozen,2,demodicosis,256,0.9649805447470778,0.9687499999999961,0.9668615984400419
nasnet_mobile,frozen,2,dermatitis,253,0.705179282868523,0.6996047430830012,0.7023809523804495
nasnet_mobile,frozen,2,flea_allergy,251,0.72830188679245,0.7689243027888416,0.7480620155033734
nasnet_mobile,frozen,2,fungus,260,0.7843137254901931,0.7692307692307662,0.7766990291257105
nasnet_mobile,frozen,2,ringworm,256,0.8015873015872984,0.7890624999999969,0.795275590550678
nasnet_mobile,frozen,2,scabies,254,0.7119999999999972,0.7007874015748004,0.7063492063487035
nasnet_mobile,frozen,3,demodicosis,256,0.9843137254901922,0.9804687499999961,0.9823874755376566
nasnet_mobile,frozen,3,dermatitis,253,0.6946564885496156,0.7193675889328035,0.7067961165043517
nasnet_mobile,frozen,3,flea_allergy,251,0.7868852459016361,0.7649402390438217,0.7757575757570727
nasnet_mobile,frozen,3,fungus,260,0.7974683544303764,0.726923076923074,0.7605633802811881
nasnet_mobile,frozen,3,ringworm,256,0.8445378151260469,0.7851562499999969,0.813765182185732
nasnet_mobile,frozen,3,scabies,254,0.6122448979591816,0.7086614173228318,0.6569343065688433
nasnet_mobile,finetuned,1,demodicosis,256,0.863157894736839,0.9609374999999961,0.9094269870604962
nasnet_mobile,finetuned,1,dermatitis,253,0.7590909090909057,0.6600790513833966,0.7061310782236009
nasnet_mobile,finetuned,1,flea_allergy,251,0.6810035842293882,0.7569721115537819,0.7169811320749704
nasnet_mobile,finetuned,1,fungus,260,0.7336065573770462,0.6884615384615358,0.710317460316958
nasnet_mobile,finetuned,1,ringworm,256,0.7245283018867896,0.749999999999997,0.7370441458728177
nasnet_mobile,finetuned,1,scabies,254,0.6877637130801659,0.6417322834645645,0.6639511201624306
nasnet_mobile,finetuned,2,demodicosis,256,0.8817204301075237,0.9609374999999961,0.9196261682237964
nasnet_mobile,finetuned,2,dermatitis,253,0.7872340425531873,0.5849802371541479,0.6712018140584648
nasnet_mobile,finetuned,2,flea_allergy,251,0.6632996632996611,0.7848605577689212,0.7189781021892818
nasnet_mobile,finetuned,2,fungus,260,0.7007874015748004,0.684615384615382,0.6926070038905479
nasnet_mobile,finetuned,2,ringworm,256,0.7272727272727244,0.749999999999997,0.7384615384610356
nasnet_mobile,finetuned,2,scabies,254,0.6209677419354814,0.6062992125984228,0.6135458167325654
nasnet_mobile,finetuned,3,demodicosis,256,0.8916967509025238,0.9648437499999961,0.92682926829218
nasnet_mobile,finetuned,3,dermatitis,253,0.7671232876712294,0.6640316205533571,0.7118644067791606
nasnet_mobile,finetuned,3,flea_allergy,251,0.6840277777777753,0.7848605577689212,0.7309833024113735
nasnet_mobile,finetuned,3,fungus,260,0.7127272727272701,0.7538461538461508,0.7327102803733293
nasnet_mobile,finetuned,3,ringworm,256,0.7786885245901608,0.742187499999997,0.7599999999994972
nasnet_mobile,finetuned,3,scabies,254,0.7224669603524198,0.6456692913385802,0.6819126819121808
convnext_tiny,frozen,1,demodicosis,256,0.9806201550387558,0.988281249999996,0.9844357976648658
convnext_tiny,frozen,1,dermatitis,253,0.7323420074349415,0.7786561264822104,0.7547892720301489
convnext_tiny,frozen,1,flea_allergy,251,0.8215767634854738,0.7888446215139411,0.8048780487799847
convnext_tiny,frozen,1,fungus,260,0.8549019607843104,0.8384615384615351,0.8466019417470695
convnext_tiny,frozen,1,ringworm,256,0.8188405797101419,0.8828124999999964,0.8496240601498734
convnext_tiny,frozen,1,scabies,254,0.7792207792207758,0.7086614173228318,0.7422680412366115
convnext_tiny,frozen,2,demodicosis,256,0.9691119691119653,0.9804687499999961,0.9747572815528942
convnext_tiny,frozen,2,dermatitis,253,0.7265917602996227,0.766798418972329,0.7461538461533436
convnext_tiny,frozen,2,flea_allergy,251,0.8235294117647024,0.7808764940239012,0.8016359918195379
convnext_tiny,frozen,2,fungus,260,0.839552238805967,0.865384615384612,0.852272727272224
convnext_tiny,frozen,2,ringworm,256,0.8265682656826537,0.8749999999999966,0.8500948766598386
convnext_tiny,frozen,2,scabies,254,0.753303964757706,0.6732283464566903,0.7110187110182096
convnext_tiny,frozen,3,demodicosis,256,0.980769230769227,0.996093749999996,0.988372093022752
convnext_tiny,frozen,3,dermatitis,253,0.7216117216117189,0.7786561264822104,0.7490494296572925
convnext_tiny,frozen,3,flea_allergy,251,0.8099173553718975,0.7808764940239012,0.7951318458412818
convnext_tiny,frozen,3,fungus,260,0.8301886792452798,0.8461538461538428,0.8380952380947349
convnext_tiny,frozen,3,ringworm,256,0.847908745247145,0.8710937499999966,0.8593448940264716
convnext_tiny,frozen,3,scabies,254,0.7577092511013183,0.677165354330706,0.7151767151762137
convnext_tiny,finetuned,1,demodicosis,256,0.9922178988326809,0.996093749999996,0.9941520467831216
convnext_tiny,finetuned,1,dermatitis,253,0.6972789115646234,0.810276679841894,0.749542961608275
convnext_tiny,finetuned,1,flea_allergy,251,0.8181818181818148,0.7888446215139411,0.8032454361049736
convnext_tiny,finetuned,1,fungus,260,0.8461538461538431,0.9307692307692271,0.8864468864463843
convnext_tiny,finetuned,1,ringworm,256,0.8916666666666629,0.8359374999999967,0.8629032258059486
convnext_tiny,finetuned,1,scabies,254,0.8341232227488112,0.692913385826769,0.7569892473113289
convnext_tiny,finetuned,2,demodicosis,256,0.9808429118773908,0.999999999999996,0.9903288201155502
