arch,strategy,seed,n_images,accuracy,macro_f1,ece_before,ece_after,brier_before,brier_after,nll_before,nll_after,T_mean,T_min,T_max,T_f0,T_f1,T_f2,T_f3,T_f4,ece_delta,brier_delta,nll_delta
efficientnet_b0,frozen,2,1530,0.817647058823529,0.8163636407586631,0.048700872862261116,0.04144162352568182,0.24995708189827148,0.24750162269419576,0.5339339971542358,0.5286157727241516,1.1228331013399697,0.9981983083388553,1.3736781180148243,1.199108191590071,1.0364573079296122,0.9981983083388553,1.0067235808264847,1.3736781180148243,-0.0072592493365792946,-0.0024554592040757217,-0.0053182244300842285
efficientnet_b0,frozen,3,1530,0.8254901960784309,0.823985006470402,0.044840632680974,0.029231774534275362,0.23877431862959775,0.23668103646621624,0.5230944752693176,0.5107346177101135,1.2017850845620117,0.9509293187569138,1.4233568521766358,1.2350308990359493,1.0861508821870252,0.9509293187569138,1.3134574706535347,1.4233568521766358,-0.015608858146698636,-0.0020932821633815046,-0.012359857559204102
efficientnet_v2_b0,finetuned,1,1530,0.798039215686274,0.7982890283184328,0.11696450527197394,0.03483567857274822,0.29485127271011563,0.2707982283125328,0.6496091485023499,0.5845668315887451,0.5741764397537008,0.5008207146233378,0.6531504259554002,0.634044409533172,0.5008207146233378,0.5726492093278276,0.5102174393287666,0.6531504259554002,-0.08212882669922572,-0.024053044397582823,-0.06504231691360474
efficientnet_v2_b0,finetuned,2,1530,0.809803921568627,0.8097244443786775,0.11695698565906948,0.03442167896850436,0.27752978304234144,0.25299217220449194,0.6114630699157715,0.5428879261016846,0.54928956397162,0.48939576342201013,0.6145295824179157,0.6145295824179157,0.5454170263745399,0.5608950204580758,0.48939576342201013,0.5362104271855582,-0.08253530669056512,-0.0245376108378495,-0.06857514381408691
efficientnet_v2_b0,finetuned,3,1530,0.8071895424836597,0.807263178948571,0.1236108099713045,0.028786135713259345,0.28190573134733143,0.2560411759410638,0.6192867159843445,0.5514679551124573,0.5527190105631318,0.47497753083962396,0.6061457872063348,0.5960954993283495,0.5388555222359046,0.6061457872063348,0.47497753083962396,0.5475207132054463,-0.09482467425804515,-0.025864555406267642,-0.06781876087188721
efficientnet_v2_b0,frozen,1,1530,0.8267973856209145,0.8253844003140388,0.05419379634405275,0.03251406034223392,0.24687468918171518,0.24028319485205332,0.5442336797714233,0.5182566046714783,1.2187292150836824,1.0569089317461078,1.4471187308837974,1.2386893099829293,1.1715276037732005,1.179401499032377,1.0569089317461078,1.4471187308837974,-0.021679736001818828,-0.006591494329661857,-0.02597707509994507
efficientnet_v2_b0,frozen,2,1530,0.8189542483660126,0.8173075134658475,0.05435683444824095,0.04098887735722109,0.24619831109083762,0.24157553799582823,0.5356841683387756,0.5157586932182312,1.2280810839144654,0.9602036250659437,1.532232163737035,1.1255467766173068,0.9602036250659437,1.0687703478199497,1.4536525063320904,1.532232163737035,-0.013367957091019858,-0.004622773095009386,-0.019925475120544434
efficientnet_v2_b0,frozen,3,1530,0.8209150326797381,0.8197093374779573,0.06420281700838622,0.027464480123488722,0.2559330686612702,0.24683789886909488,0.5644605159759521,0.5264443159103394,1.3133908216934576,1.2238081574197561,1.4533837669790048,1.2669358819775205,1.2238081574197561,1.3296866208831664,1.293139681207839,1.4533837669790048,-0.0367383368848975,-0.009095169792175312,-0.03801620006561279
mobilenet_v2,finetuned,1,1530,0.8084967320261434,0.8074995324438493,0.03341425651428746,0.03128428496176902,0.2561889583565302,0.2575971704904184,0.5453410744667053,0.5494454503059387,1.0676574489116004,0.9654135467513327,1.3059173903927073,1.0678076722666396,0.9699682227838644,1.0291804123634587,0.9654135467513327,1.3059173903927073,-0.002129971552518442,0.001408212133888198,0.0041043758392333984
mobilenet_v2,finetuned,2,1530,0.7960784313725485,0.795214551595735,0.035904812851762474,0.034364706745334664,0.27717174484190676,0.27611671341117977,0.5805835723876953,0.5787726044654846,1.0911859594742401,0.9822557859157248,1.2473685286716902,1.2473685286716902,0.9822557859157248,1.015583535263948,0.9959034756183384,1.2148184719014983,-0.0015401061064278104,-0.0010550314307269937,-0.0018109679222106934
mobilenet_v2,finetuned,3,1530,0.7973856209150322,0.7962934323700631,0.039081567759607326,0.033399299585741324,0.2688444631777989,0.2679035533921404,0.572970449924469,0.5687141418457031,1.105229511321287,0.9949826353531434,1.2176247390346082,1.2116873204861573,1.0493976059801093,1.0524552557524172,0.9949826353531434,1.2176247390346082,-0.005682268173866002,-0.000940909785658528,-0.004256308078765869
mobilenet_v2,frozen,1,1530,0.7862745098039211,0.7861553152656627,0.047249229515300036,0.042292463039261076,0.30724338567342774,0.30614273883195997,0.6412351131439209,0.6348704099655151,1.0525945614150758,0.9862562453998674,1.0905511856773835,0.9862562453998674,1.0698783518801342,1.0905511856773835,1.0305729327093007,1.0857140914086942,-0.00495676647603896,-0.0011006468414677673,-0.006364703178405762
mobilenet_v2,frozen,2,1530,0.7882352941176466,0.7873310634269081,0.05585300657484266,0.027543251226150898,0.2973267913608131,0.2930256077730907,0.6474892497062683,0.6169130206108093,1.1895867643527909,1.045162874331814,1.368719152759758,1.045162874331814,1.0818918998185891,1.368719152759758,1.338739046222711,1.1134208486310824,-0.028309755348691765,-0.004301183587722357,-0.030576229095458984
