arch,strategy,class,support,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
efficientnet_v2_b0,finetuned,flea_allergy,251.0,0.8469027029966787,0.020406316455759,0.7543160690571019,0.004600400551311755,0.7978125604135861,0.006399078550355123
efficientnet_v2_b0,finetuned,fungus,260.0,0.7511549104898064,0.01548022255911662,0.8243589743589711,0.019358549834027496,0.7860462264489918,0.016977943490787916
efficientnet_v2_b0,finetuned,ringworm,256.0,0.8213414540728093,0.02641526050343564,0.80989583333333,0.009021097956087798,0.8153278729019503,0.008940059113543397
efficientnet_v2_b0,finetuned,scabies,254.0,0.845023923444972,0.02215280002263228,0.6850393700787375,0.003937007874015741,0.7565865215359291,0.009626125108176817
efficientnet_v2_b0,frozen,demodicosis,256.0,0.9730508039237616,0.010082383217410512,0.9856770833333294,0.00813150781041452,0.979307847643232,0.00783315785218791
efficientnet_v2_b0,frozen,dermatitis,253.0,0.7599342010668108,0.020439284246213572,0.7312252964426849,0.018112947410892543,0.7449747117419472,0.0014825567304430328
efficientnet_v2_b0,frozen,flea_allergy,251.0,0.7588304917455361,0.015305232893177215,0.796812749003981,0.010540841876751347,0.7772347676286026,0.00566498542570436
efficientnet_v2_b0,frozen,fungus,260.0,0.8294603407056907,0.015962834618635045,0.8538461538461505,0.013867504905630677,0.8414562962550537,0.014126196422910407
efficientnet_v2_b0,frozen,ringworm,256.0,0.8151124337607135,0.028779853257961494,0.8567708333333299,0.005966895436140429,0.8351961196142904,0.013081060867590288
efficientnet_v2_b0,frozen,scabies,254.0,0.792292177247926,0.008550898274432448,0.7060367454068214,0.01860557333170309,0.7466327596325613,0.013460387711153389
mobilenet_v2,finetuned,demodicosis,256.0,0.9483037046418694,0.02767615152783218,0.9466145833333295,0.012556836928376223,0.9473407030980064,0.017271870483248374
mobilenet_v2,finetuned,dermatitis,253.0,0.7643515873956762,0.030502239155464163,0.7167325428194965,0.02176905354658529,0.7391797759276412,0.004026067605590533
mobilenet_v2,finetuned,flea_allergy,251.0,0.7975919388342779,0.02500192650162988,0.7622841965471417,0.012171515790055341,0.7794514674107108,0.016405852306988898
mobilenet_v2,finetuned,fungus,260.0,0.7196581473180407,0.017218265238151436,0.8499999999999966,0.03668996928526701,0.7789402369784395,0.012069128023208416
mobilenet_v2,finetuned,ringworm,256.0,0.8320054269540016,0.010287417478914805,0.8437499999999966,0.010334966058845978,0.8377520375412598,0.0003966803391692401
